Datetime;A;Y;Er
2024-05-14 23:30:00;6913.250027102846;-2.773530704157074;31.561203726342004
2024-05-14 23:45:00;4646.255956346436;-2.577897148865983;25.678849527868188
2024-05-15 00:00:00;116689.20753198267;-3.927590533806423;-1414933820.662718
2024-05-15 00:15:00;8097.4568348712255;-2.837176599955615;32.309562022457804
2024-05-15 00:30:00;5406.425517163325;-2.678691179008814;29.999169840911065
2024-05-15 00:45:00;119113.83728772709;-3.9357177378791293;-900589157.6780345
2024-05-15 01:00:00;5532.931312770477;-2.7305577787727984;34.21135821354899
2024-05-15 01:15:00;3055.6538069877033;-2.4529641024689806;25.73173605266193
2024-05-15 01:30:00;2641.02384230723;-2.40098517922407;24.469293168163187
2024-05-15 01:45:00;7784.877044317641;-2.8871386207794303;43.313467295997455
2024-05-15 02:00:00;8699.14626239754;-2.904960142244974;39.24904919651775
2024-05-15 02:15:00;147830.66169564138;-4.004318735347675;-1490186359.5842853
2024-05-15 02:30:00;4610.867394824937;-2.632248011284449;29.363964947564245
2024-05-15 02:45:00;4261.900235828172;-2.626830945364373;33.33894191950853
2024-05-15 03:00:00;85739.20178510303;-3.81303116749736;-772349196.1726646
2024-05-15 03:15:00;3530.4299525278498;-2.558456020818039;32.115280731651744
2024-05-15 03:30:00;3110.320680681037;-2.4981120250566433;29.325729540434402
2024-05-15 03:45:00;80822.14809057189;-3.797401716807853;-752145850.922853
2024-05-15 04:00:00;73311.25570542828;-3.7636346036816963;-639472331.8787901
2024-05-15 04:15:00;70235.92740390738;-3.745809249157413;-630209156.8355365
2024-05-15 04:30:00;79908.52109479209;-3.786183990008143;-2790089622.6291933
2024-05-15 04:45:00;64266.01504692019;-3.7251669080816616;-1708078933.524395
2024-05-15 05:00:00;57176.31342617551;-3.6795437850811776;-2267688739.0354056
2024-05-15 05:15:00;61073.7735805024;-3.697044702383958;-654058711.0918547
2024-05-15 05:30:00;2140.2134581313276;-2.3463121455277025;28.75456035765363
2024-05-15 05:45:00;71648.57060829039;-3.7263928448395682;-745471625.6048765
2024-05-15 06:00:00;59839.1364420538;-3.658025029080066;-1460719125.8178449
2024-05-15 06:15:00;66357.35235302338;-3.694032690117135;-734435827.4740804
2024-05-15 06:30:00;83815.76979437753;-3.7649639594376514;-2094761146.6524673
2024-05-15 06:45:00;78600.76284185372;-3.735033069331532;-1005222304.3098449
2024-05-15 07:00:00;112433.31050849655;-3.844393374677297;-1691199816.9866824
2024-05-15 07:15:00;116302.05055746397;-3.846524270836532;-887202458.0204748
2024-05-15 07:30:00;137181.2768246503;-3.8771761355026397;-760188231.9563394
2024-05-15 07:45:00;119690.28790029747;-3.8321563875934896;-2288805866.198231
2024-05-15 08:00:00;144476.96064702098;-3.906329338221022;-781457597.4116213
2024-05-15 08:15:00;151722.46873704216;-3.911582539382139;-1553803805.4943635
2024-05-15 08:30:00;118710.69211296759;-3.87527635401374;-489594907.3647276
2024-05-15 08:45:00;111712.98879070696;-3.8367954241306164;-1639638210.3063862
2024-05-15 09:00:00;126623.79776855677;-3.8737831393464313;-1275420077.855783
2024-05-15 09:15:00;100920.32706650818;-3.7805804514399077;-1383460465.9448333
2024-05-15 09:30:00;103478.37910200802;-3.8033415523928977;-1763283768.9740686
2024-05-15 09:45:00;133282.86335976716;-3.883929668282249;-1877345303.819266
2024-05-15 10:00:00;130001.40956084401;-3.873340327057893;-741926263.4405999
2024-05-15 10:15:00;121806.9669803958;-3.8523249080929625;-767346772.2975065
2024-05-15 10:30:00;124568.77968989134;-3.860040794298539;-2584479390.7834806
2024-05-15 10:45:00;145601.31354854786;-3.908733578529765;-1607924699.2793343
2024-05-15 11:00:00;137385.60612787306;-3.890726913962265;-1573116274.6856415
2024-05-15 11:15:00;146422.94459050192;-3.906322327623481;-773159442.8546863
2024-05-15 11:30:00;147311.1828610595;-3.9115671011659554;-799235192.2412177
2024-05-15 11:45:00;107355.61417529608;-3.8141680305722128;-1201492925.9587798
2024-05-15 12:00:00;202432.33757899518;-4.021070163171131;-3413451071.4660077
2024-05-15 12:15:00;144881.3630925862;-3.9259980683744753;-1697919491.4364758
2024-05-15 12:30:00;149036.0665242372;-3.9319714709257734;-764890112.8574033
2024-05-15 12:45:00;132168.1067205476;-3.9012366338686553;-576721072.2636759
2024-05-15 13:00:00;176201.30075702825;-4.019523136027602;-1588134080.6054864
2024-05-15 13:15:00;157688.14891879645;-3.981027995736015;-2175169801.507491
2024-05-15 13:30:00;154895.1132033931;-3.9867609776336024;-1735496883.076746
2024-05-15 13:45:00;199545.3101554354;-4.088276339568806;-462952022.29961205
2024-05-15 14:00:00;173286.24871528233;-4.046392388498843;-1805274126.719865
2024-05-15 14:15:00;176535.67596440017;-4.0515394701962375;-2341534259.0915937
2024-05-15 14:30:00;115160.55673572794;-3.921143318124276;-692850802.4695114
2024-05-15 14:45:00;215570.51904680894;-4.116057385107662;-1488876100.585622
2024-05-15 15:00:00;198844.13112964388;-4.101060038913955;-3932354440.2973347
2024-05-15 15:15:00;126332.53047104413;-3.965379428187448;-742235402.1526315
2024-05-15 15:30:00;243038.90887762007;-4.186685467370332;-571412808.5295976
2024-05-15 15:45:00;209949.07659608146;-4.146216398557776;-2186106766.7759943
2024-05-15 16:00:00;164457.5268117512;-4.070796436175549;-553117241.512699
2024-05-15 16:15:00;164069.3874438593;-4.07007010889666;-522991156.74920154
2024-05-15 16:30:00;270726.8482300406;-4.24718208728639;-1930520610.3642004
2024-05-15 16:45:00;190880.9854315605;-4.137590236287922;-923025779.486794
2024-05-15 17:00:00;201531.2788780715;-4.15909083881767;-1841873232.638136
2024-05-15 17:15:00;271093.31183137844;-4.263907275222384;-716458008.9545579
2024-05-15 17:30:00;221344.08183414975;-4.181353613258614;-994979793.4619567
2024-05-15 17:45:00;252464.55351185222;-4.237297941999346;-738445435.3323294
2024-05-15 18:00:00;149262.97821306167;-4.0779589364741415;-1917074827.322193
2024-05-15 18:15:00;278757.36201981123;-4.290116691509549;-1094635757.8144011
2024-05-15 18:30:00;219990.44970149227;-4.2113695841363965;-767847463.4669641
2024-05-15 18:45:00;221432.53123638823;-4.225142267667611;-808342245.5653971
2024-05-15 19:00:00;170524.6408924054;-4.144431659501558;-1258898428.3166742
2024-05-15 19:15:00;457932.15294194303;-4.468201885250862;-1959739438.3240476
2024-05-15 19:30:00;311958.65392050747;-4.352946920293391;-1256341645.5036914
2024-05-15 19:45:00;355916.3565494035;-4.401036011146423;-1413658622.9871428
2024-05-15 20:00:00;293181.6828154161;-4.3530064416196455;-848820870.6589131
2024-05-15 20:15:00;441350.3963145518;-4.485347218924316;-1112975051.257828
2024-05-15 20:30:00;189715.49265356146;-4.213752336156853;-1435447445.1975608
2024-05-15 20:45:00;259348.41485881095;-4.311584527437741;-1657743906.2293692
2024-05-15 21:00:00;268872.96296319546;-4.340086637325877;-940327316.3194416
2024-05-15 21:15:00;168608.60878271188;-4.195621310722688;-2653113727.03951
2024-05-15 21:30:00;336070.8640718827;-4.4307073379517625;-1856487525.2811913
2024-05-15 21:45:00;169302.71568807858;-4.203999666271343;-455642573.87258595
2024-05-15 22:00:00;188195.08519350542;-4.251851781393254;-877111376.8442285
2024-05-15 22:15:00;173846.14455432;-4.23934562075623;-785721732.3121426
2024-05-15 22:30:00;5083.059165186778;-2.8015839721422195;25.01844877517048
2024-05-15 22:45:00;430874.33540370106;-4.531287978023724;-488758643.8230301
2024-05-15 23:00:00;170022.68958107205;-4.232591995201868;-1642713436.3973908
2024-05-15 23:15:00;372250.8354346342;-4.493315032485198;-1421124091.8618937
2024-05-15 23:30:00;420165.24751595024;-4.544999929363614;-771771282.6182703
2024-05-15 23:45:00;208605.27519351884;-4.32269768733269;-983912996.508505
2024-05-16 00:00:00;300520.6946432154;-4.437987922573365;-559895656.9238076
2024-05-16 00:15:00;218114.13341720263;-4.354057093350931;-1969732569.4296823
2024-05-16 00:30:00;252881.96101676783;-4.42825689581135;-1518679974.9791157
2024-05-16 00:45:00;318034.5111310804;-4.502721135004713;-1571152812.3173268
